UserName,RecommendedHotel,predicted_rating
MARIKO,HANZ Panorama Grand Residencé,11.302976
MARIKO,HANZ Muong Thanh Vien Trieu Condo Hotel,11.093291
MARIKO,Panorama Center Ocean View,10.964653
MARIKO,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.434876
MARIKO,The Arena Cam Ranh Beach seaside,10.3429575
MARIKO,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.226022
Hong,Gold Coast Hotel Nha Trang,11.551872
Hong,HANZ Panorama Grand Residencé,11.313019
Hong,HANZ Muong Thanh Vien Trieu Condo Hotel,11.141864
Hong,The Arena Cam Ranh Beach seaside,10.953329
Hong,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.768401
Hong,The Pool Villa Cam Ranh - All Private Pool Villas,10.631473
Hong,Gran Meliá Nha Trang,10.56613
Guai,HANZ Panorama Grand Residencé,10.398736
Guai,HANZ Muong Thanh Vien Trieu Condo Hotel,10.205829
Guai,Panorama Center Ocean View,10.087481
Guai,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.600084
Guai,The Arena Cam Ranh Beach seaside,9.515521
Guai,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",9.407937
Nghĩa,HANZ Panorama Grand Residencé,11.866496
Nghĩa,HANZ Muong Thanh Vien Trieu Condo Hotel,11.654194
Nghĩa,Panorama Center Ocean View,10.991161
Nghĩa,HÀO PHÁT HOTEL NHA TRANG,10.633153
Nghĩa,InterContinental Residences Nha Trang,10.554515
Duc,HANZ Panorama Grand Residencé,11.087767
Duc,HANZ Muong Thanh Vien Trieu Condo Hotel,10.902437
Duc,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.738897
Duc,HÀO PHÁT HOTEL NHA TRANG,10.443911
Duc,Panorama Center Ocean View,10.304214
Duc,Khu biệt thự Casa Blanca (Casa Blanca Villas),10.182267
Thuy,HANZ Panorama Grand Residencé,11.280298
Thuy,HANZ Muong Thanh Vien Trieu Condo Hotel,11.061865
Thuy,Gold Coast Hotel Nha Trang,10.771221
Thuy,Panorama Center Ocean View,10.48423
Thuy,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.2230625
Thuy,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),10.180652
Thuy,The Sea Luxury Nha Trang Apartment,10.099512
Vui,Gold Coast Hotel Nha Trang,10.619775
Vui,HANZ Panorama Grand Residencé,10.293623
Vui,Panorama Center Ocean View,10.144722
Vui,HANZ Muong Thanh Vien Trieu Condo Hotel,10.104742
Vui,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",9.978687
Vui,Condotel Arena's at Bai Dai Beach Nha Trang,9.919263
Vui,Khu nghỉ dưỡng Amiana Nha Trang (Amiana Resort Nha Trang),9.914706
Vui,Residence Inn Villa Cam Ranh,9.9022
Trang,HANZ Panorama Grand Residencé,12.298655
Trang,HANZ Muong Thanh Vien Trieu Condo Hotel,12.104252
Trang,The Arena Cam Ranh Beach seaside,11.190878
Trang,ISeaview Heritage Boutique Hotel,10.748898
Trang,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment sea view 28 floor Scenia Bay)",10.704382
Trang,Vinpearl Luxury Nha Trang,10.672662
Trang,Gold Coast Hotel Nha Trang,10.650594
Trang,Panorama Center Ocean View,10.642917
Thảo,HANZ Panorama Grand Residencé,11.9668665
Thảo,HANZ Muong Thanh Vien Trieu Condo Hotel,11.768439
Thảo,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",11.414244
Thảo,The Pool Villa Cam Ranh - All Private Pool Villas,11.12818
Thảo,The Arena Cam Ranh Beach seaside,10.7374325
Thảo,Gran Meliá Nha Trang,10.666368
Tùng,HANZ Panorama Grand Residencé,12.4588585
Tùng,HANZ Muong Thanh Vien Trieu Condo Hotel,12.249914
Tùng,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.236383
Tùng,The Pool Villa Cam Ranh - All Private Pool Villas,11.150148
Tùng,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",11.0809555
Tùng,Panorama Center Ocean View,11.022808
nhung,HANZ Panorama Grand Residencé,11.66498
nhung,HANZ Muong Thanh Vien Trieu Condo Hotel,11.450145
nhung,Panorama Center Ocean View,10.969265
nhung,The Arena Cam Ranh Beach seaside,10.683337
nhung,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.614006
nhung,HÀO PHÁT HOTEL NHA TRANG,10.448392
Vân,HANZ Panorama Grand Residencé,10.998464
Vân,HANZ Muong Thanh Vien Trieu Condo Hotel,10.777498
Vân,HÀO PHÁT HOTEL NHA TRANG,10.753459
Vân,Panorama Center Ocean View,10.732052
Vân,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.616594
Quynh,HANZ Panorama Grand Residencé,10.881812
Quynh,HANZ Muong Thanh Vien Trieu Condo Hotel,10.681717
